am época 1: train=0.492914, val=0.472007, RMSE=0.110724 mm/h, 58.4s, paciencia=0
am época 2: train=0.424807, val=0.448755, RMSE=0.107963 mm/h, 39.5s, paciencia=0
am época 3: train=0.410073, val=0.434148, RMSE=0.106191 mm/h, 37.8s, paciencia=0
am época 4: train=0.400135, val=0.428225, RMSE=0.105464 mm/h, 35.0s, paciencia=0
am época 5: train=0.393991, val=0.421828, RMSE=0.104674 mm/h, 34.2s, paciencia=0
am época 6: train=0.388607, val=0.416626, RMSE=0.104026 mm/h, 31.1s, paciencia=0
am época 7: train=0.385041, val=0.414865, RMSE=0.103806 mm/h, 32.9s, paciencia=0
am época 8: train=0.381421, val=0.411627, RMSE=0.103400 mm/h, 34.6s, paciencia=0
am época 9: train=0.378033, val=0.421842, RMSE=0.104675 mm/h, 32.3s, paciencia=1
am época 10: train=0.374844, val=0.406820, RMSE=0.102795 mm/h, 41.5s, paciencia=0
am época 11: train=0.372973, val=0.404787, RMSE=0.102537 mm/h, 35.5s, paciencia=0
am época 12: train=0.372112, val=0.405554, RMSE=0.102635 mm/h, 36.4s, paciencia=1
am época 13: train=0.368434, val=0.404975, RMSE=0.102561 mm/h, 34.0s, paciencia=2
am época 14: train=0.368064, val=0.407382, RMSE=0.102866 mm/h, 34.1s, paciencia=3
am época 15: train=0.366230, val=0.410092, RMSE=0.103207 mm/h, 37.4s, paciencia=4
am época 16: train=0.364431, val=0.403148, RMSE=0.102330 mm/h, 38.2s, paciencia=0
am época 17: train=0.362367, val=0.406444, RMSE=0.102747 mm/h, 39.8s, paciencia=1
am época 18: train=0.362083, val=0.411676, RMSE=0.103406 mm/h, 33.2s, paciencia=2
am época 19: train=0.359535, val=0.403912, RMSE=0.102427 mm/h, 33.4s, paciencia=3
am época 20: train=0.358388, val=0.412545, RMSE=0.103515 mm/h, 32.4s, paciencia=4
am época 21: train=0.357374, val=0.406577, RMSE=0.102764 mm/h, 31.8s, paciencia=5
