cnn época 1: train=0.560289, val=0.550372, RMSE=0.119563 mm/h, 42.0s, paciencia=0
cnn época 2: train=0.454909, val=0.469812, RMSE=0.110467 mm/h, 33.6s, paciencia=0
cnn época 3: train=0.434704, val=0.454963, RMSE=0.108707 mm/h, 22.7s, paciencia=0
cnn época 4: train=0.424151, val=0.455925, RMSE=0.108822 mm/h, 23.0s, paciencia=1
cnn época 5: train=0.415827, val=0.437025, RMSE=0.106542 mm/h, 25.2s, paciencia=0
cnn época 6: train=0.410320, val=0.434701, RMSE=0.106259 mm/h, 26.3s, paciencia=0
cnn época 7: train=0.406442, val=0.439650, RMSE=0.106862 mm/h, 33.1s, paciencia=1
cnn época 8: train=0.404216, val=0.430435, RMSE=0.105736 mm/h, 23.7s, paciencia=0
cnn época 9: train=0.399616, val=0.435255, RMSE=0.106326 mm/h, 43.2s, paciencia=1
cnn época 10: train=0.397240, val=0.424418, RMSE=0.104994 mm/h, 36.3s, paciencia=0
cnn época 11: train=0.395177, val=0.426313, RMSE=0.105229 mm/h, 32.8s, paciencia=1
cnn época 12: train=0.393856, val=0.426793, RMSE=0.105288 mm/h, 27.6s, paciencia=2
cnn época 13: train=0.390523, val=0.423821, RMSE=0.104921 mm/h, 22.9s, paciencia=0
cnn época 14: train=0.389588, val=0.416823, RMSE=0.104051 mm/h, 26.6s, paciencia=0
cnn época 15: train=0.388742, val=0.425205, RMSE=0.105092 mm/h, 22.5s, paciencia=1
cnn época 16: train=0.385813, val=0.431473, RMSE=0.105863 mm/h, 23.3s, paciencia=2
cnn época 17: train=0.385518, val=0.425375, RMSE=0.105113 mm/h, 27.4s, paciencia=3
cnn época 18: train=0.384907, val=0.432183, RMSE=0.105951 mm/h, 24.2s, paciencia=4
cnn época 19: train=0.382866, val=0.415619, RMSE=0.103900 mm/h, 34.5s, paciencia=0
cnn época 20: train=0.381368, val=0.418357, RMSE=0.104242 mm/h, 40.5s, paciencia=1
cnn época 21: train=0.379812, val=0.409562, RMSE=0.103141 mm/h, 39.0s, paciencia=0
cnn época 22: train=0.379328, val=0.411572, RMSE=0.103393 mm/h, 57.9s, paciencia=1
cnn época 23: train=0.377683, val=0.408719, RMSE=0.103034 mm/h, 30.4s, paciencia=0
cnn época 24: train=0.377394, val=0.408808, RMSE=0.103046 mm/h, 28.5s, paciencia=1
cnn época 25: train=0.375950, val=0.411421, RMSE=0.103374 mm/h, 29.2s, paciencia=2
cnn época 26: train=0.375172, val=0.406332, RMSE=0.102733 mm/h, 23.4s, paciencia=0
cnn época 27: train=0.373708, val=0.410172, RMSE=0.103217 mm/h, 25.0s, paciencia=1
cnn época 28: train=0.372748, val=0.408897, RMSE=0.103057 mm/h, 31.0s, paciencia=2
cnn época 29: train=0.372134, val=0.410053, RMSE=0.103202 mm/h, 23.2s, paciencia=3
cnn época 30: train=0.370897, val=0.404652, RMSE=0.102520 mm/h, 25.9s, paciencia=0
cnn época 31: train=0.369587, val=0.410102, RMSE=0.103208 mm/h, 23.3s, paciencia=1
cnn época 32: train=0.369108, val=0.404407, RMSE=0.102489 mm/h, 22.9s, paciencia=0
cnn época 33: train=0.367427, val=0.408121, RMSE=0.102959 mm/h, 22.6s, paciencia=1
cnn época 34: train=0.367310, val=0.405041, RMSE=0.102570 mm/h, 24.5s, paciencia=2
cnn época 35: train=0.366624, val=0.409709, RMSE=0.103159 mm/h, 22.8s, paciencia=3
cnn época 36: train=0.365282, val=0.400391, RMSE=0.101979 mm/h, 23.0s, paciencia=0
cnn época 37: train=0.363899, val=0.414720, RMSE=0.103788 mm/h, 29.6s, paciencia=1
cnn época 38: train=0.363617, val=0.400333, RMSE=0.101972 mm/h, 31.8s, paciencia=0
cnn época 39: train=0.362754, val=0.399585, RMSE=0.101876 mm/h, 31.7s, paciencia=0
cnn época 40: train=0.360662, val=0.404517, RMSE=0.102503 mm/h, 31.3s, paciencia=1
cnn época 41: train=0.360080, val=0.402220, RMSE=0.102212 mm/h, 31.0s, paciencia=2
cnn época 42: train=0.359331, val=0.408373, RMSE=0.102991 mm/h, 31.1s, paciencia=3
cnn época 43: train=0.359181, val=0.405089, RMSE=0.102576 mm/h, 31.2s, paciencia=4
cnn época 44: train=0.356994, val=0.409943, RMSE=0.103188 mm/h, 31.3s, paciencia=5
