hour,RMSE,MAE,NSE,R,bias_mm_h,n_values
1,0.037031668384255916,0.010009773221778708,0.959664688568682,0.9803928879833995,0.005551977481888659,18142
2,0.04595927646943262,0.010325651148439969,0.9403827571669263,0.9700819261870938,0.004825283427677379,18142
3,0.05324921663133761,0.010681866201219735,0.9219560684088494,0.9605266079967693,0.003944428159521088,18142
4,0.05955430121569267,0.011527421543635594,0.9034826842745606,0.9510035469031444,0.0034274723723285044,18142
5,0.06228122775526454,0.012325543659711627,0.8933359108449601,0.9459055384785915,0.002703150395287212,18142
6,0.06367151350145019,0.013162281990757385,0.8845468794641018,0.9412022103949964,0.002461571989424363,18142
7,0.06455427392338162,0.014041726153884323,0.8766148887292986,0.9369523637897553,0.0022203286064337753,18142
8,0.0643158890585303,0.014744128943056375,0.8712445076498752,0.9339990029547186,0.0020429411701334056,18142
9,0.06431361585401987,0.015620846352570916,0.8649590332745012,0.9304900626532722,0.002151901999170555,18142
10,0.06608369487736195,0.016351030570839708,0.8520521934323296,0.923440761020046,0.0017764469316606767,18142
11,0.07121973833778096,0.017225300131521588,0.8269282937151482,0.9099111387162172,0.0022895763103991337,18142
12,0.07541318648442606,0.017639898061024038,0.8039945094287286,0.8971267750301375,0.0020311419770164115,18142
13,0.07851848644774288,0.018247790532516222,0.783798359030512,0.885855642335006,0.002019733373953221,18142
14,0.08048747168075306,0.01919636813614373,0.7679493259121963,0.8766997863112785,0.0025415806939921436,18142
15,0.08287237384635475,0.01982286993126904,0.7503309356578441,0.8666823020391943,0.002437428379601091,18142
16,0.08508629719271567,0.020247274601224795,0.7346152936994086,0.8575812097837956,0.002150704104173374,18142
17,0.08737709845972358,0.02105100262661871,0.718761208282368,0.8483871303230698,0.0028917495011414264,18142
18,0.09014961597525732,0.021268030543862546,0.7007792099864997,0.8377103901179432,0.002263729663734838,18142
19,0.09493822296224717,0.022318969904458662,0.6723078872922847,0.8206620571519937,0.0024840327587705357,18142
20,0.11141229826329715,0.0233629200687513,0.5915669122129963,0.7697408785573924,0.002370638362675468,18142
21,0.13126120015087817,0.024057398748925835,0.5051298568541038,0.7112061079351845,0.0018516307068312356,18142
22,0.14185222080195115,0.02463183243224104,0.4585317181240026,0.6774975308977061,0.001541003848001337,18142
23,0.12504051991010118,0.02512267755868192,0.5123090657181366,0.7160615800095692,0.002402088426711852,18142
24,0.10832232374417347,0.025171769146362388,0.5768143954797667,0.7597156823154968,0.002482600065799679,18142
25,0.10155713473022956,0.02573466095283461,0.6016559051466362,0.7759721323713119,0.002853724244491199,18142
26,0.1003646189980972,0.02623871416791189,0.6030108620064388,0.7768938614427484,0.0031119921182810734,18142
27,0.10434384658847379,0.026691976464352958,0.5792138471044568,0.761319558136417,0.00263471264987369,18142
28,0.11124737472941179,0.027472023660627416,0.5447179316350375,0.73836859646789,0.0030154574670944495,18142
29,0.11099989424705374,0.027515314185233796,0.5429144004415363,0.7371311094481281,0.0025000652861019482,18142
30,0.11223292034621042,0.027983502021315533,0.5333885312363633,0.7306614482907329,0.0023774671687861295,18142
31,0.10929590934508941,0.02848932116158168,0.5445144634646165,0.7383695599021091,0.0027770127198071164,18142
32,0.10956633739579233,0.028946397167569807,0.5401215061386837,0.7354385229663972,0.0027336837787808204,18142
33,0.11465123033247795,0.029409838106812476,0.5151317907787534,0.7183518918417462,0.0025499847045126053,18142
34,0.11851477619936988,0.029783114668265415,0.4976846244937646,0.7063347038244976,0.0019965368117317176,18142
35,0.11862983160661827,0.030075533425184712,0.4958808763890551,0.7050097762736219,0.0017529617037537627,18142
36,0.11889718576868435,0.030676426601847877,0.49230989092111443,0.7027965458882995,0.0019010516994395902,18142
37,0.11973978422143693,0.03102600708731085,0.4874679946463135,0.699610463294647,0.001823134889795369,18142
38,0.12078850677951784,0.031437117925747715,0.4809646627971148,0.6951396738196265,0.0016408818807840918,18142
39,0.12152838323734322,0.031794682915878815,0.4756316722709546,0.6913604592473575,0.0015411436663738034,18142
40,0.12128234616875583,0.03256689246503791,0.4755593438493886,0.691662260050671,0.0019549838382032017,18142
41,0.12087797731730981,0.032456300568607925,0.47693772094066755,0.6928404964438662,0.0010630291283168572,18142
42,0.12150837304715462,0.033068286788358166,0.47510390343796516,0.6921581768264524,0.0009194122242997931,18142
43,0.12328187326772393,0.03342172773899675,0.4711699903611781,0.6898931166723866,0.0005640374382574752,18142
44,0.1231107156972776,0.03376609063929555,0.47399608209154165,0.6924909996446597,0.0006565282872132251,18142
45,0.12169105430480463,0.033866903069604264,0.47971622538579894,0.6964958598200857,0.0004575659703290055,18142
46,0.12160250431381704,0.03402631696793085,0.4798667234954669,0.6967865200137852,0.0004861543532810181,18142
47,0.12018034520116223,0.03423079684805171,0.48413248758012173,0.6996322708387155,0.0009417296837712888,18142
48,0.11859562711775064,0.03456699009330446,0.48889391082765077,0.7029960114092622,0.0017235492218774994,18142
