model,RMSE,MAE,NSE,R,NSE_basin_mean,NSE_basin_median,negative_prediction_fraction
lstm,0.1015858795910028,0.023548027123444726,0.6495228659082043,0.8061301532395408,-260.7298538306058,0.5822443358965169,0.12290541285415059
am,0.1023296632003479,0.025433195315307387,0.6443718851022526,0.8036184300677794,-230.89081964427342,0.5511437500198414,0.006946358358137655
cnn,0.1018764784858529,0.02423748558127415,0.6475148320556201,0.8053072713587217,-534.753823614261,0.5809639431816567,0.0025125858964465514
gnn,0.1029206739031047,0.025949658533796438,0.6402521221955862,0.8001699169744881,-510.6636954038369,0.5184445056783253,0.08604458347113512
fdmlp,0.10237244436058437,0.02707375310007343,0.6440744666762819,0.8028628115754647,-384.18028921448473,0.4628365626999429,0.03575037665821482
fdmlp_lineal,0.10200020133296672,0.022930261694059224,0.6466581681752874,0.8044854019747204,-209.6255831371919,0.6139851848506834,0.08517872891632676
lstm_uni,0.10561709446113389,0.025486337874290808,0.6211551133375077,0.7890819270401033,-432.7115840879088,0.5735904133330038,0.0005006798221438284
mlp,0.10168262906494478,0.022224193803237785,0.6488549654962008,0.8056935539233654,-130.83071210987552,0.5832854825725542,0.08033499614155
fdmlp_residual,0.1019891628021174,0.023000958190556732,0.6467346418216015,0.8048858920587048,-230.38837190765344,0.5947561544410458,0.16093181567633116
mlp_residual,0.10173109835408758,0.022957398753062318,0.6485201235121487,0.8054334102207121,-223.03155466848665,0.5837867612167482,0.1030424337632749
persistencia,0.13785925091092655,0.024464057880525737,0.3545466980258981,0.6936465045265611,0.22924612531764885,0.5250909641822317,0.0
