model,hours,RMSE,MAE,NSE,R,bias_mm_h,n_values,FHV_pct,FLV_pct,FLV_epsilon_mm_h
lstm,12,0.061672325772311645,0.014365896728286988,0.8854270659795618,0.9413065294638484,-0.0038914186183920296,217704,-4.1792964532215695,60.4882382750057,1e-06
lstm,24,0.08507608291679351,0.018039496346736367,0.7694838750870494,0.8774262029478463,-0.0034979542846039296,435408,-8.560165652928825,51.70730192977632,1e-06
lstm,48,0.1015858795910028,0.023548027123444726,0.6495228659082043,0.8061301532395408,-0.0026697792026515064,870816,-18.002013509664657,26.476232635491247,1e-06
am,12,0.06427991211338471,0.013628795765287138,0.8755336568968012,0.9359343740406993,0.003813539821533153,217704,-2.1131593870511436,-27.532251186747985,1e-06
am,24,0.08603529552092348,0.01814070216837329,0.7642565428315442,0.8746093078175713,0.004055022230954626,435408,-5.753047871214846,-32.78866262712233,1e-06
am,48,0.1023296632003479,0.025433195315307387,0.6443718851022526,0.8036184300677794,0.0051218580672566325,870816,-12.858519545879293,-37.02318738145112,1e-06
cnn,12,0.06148528956112727,0.01363795566487,0.886120952336939,0.9416885426294008,0.0029521850684117636,217704,-5.589737146677338,-32.0726481606527,1e-06
cnn,24,0.0851528708042619,0.017839765508729007,0.7690675692615212,0.8773492036524849,0.0026192975294303074,435408,-11.212111502308453,-35.42210352120353,1e-06
cnn,48,0.1018764784858529,0.02423748558127415,0.6475148320556201,0.8053072713587217,0.0022258321175309187,870816,-20.704626315056196,-37.70239247201973,1e-06
gnn,12,0.0641035956949213,0.01687911884927727,0.8762155297088058,0.9362449975487495,-0.0018723958137336846,217704,-5.589832654387578,32.85342325623721,1e-06
gnn,24,0.08662226662617085,0.02034481592966145,0.7610288762480553,0.8723933328455061,-0.0007522180558291149,435408,-10.000122859368194,22.31703194742644,1e-06
gnn,48,0.1029206739031047,0.025949658533796438,0.6402521221955862,0.8001699169744881,-8.732980450941773e-05,870816,-18.506929492556964,6.3368288436887745,1e-06
fdmlp,12,0.0644661426273407,0.01796785462757224,0.8748114092215309,0.935380720913235,0.0020387542883494782,217704,-3.5902715672628305,-3.6708496387902576,1e-06
fdmlp,24,0.08667347016988824,0.021705058055022618,0.7607462748953604,0.872485893585446,0.003116051750715078,435408,-7.809071110302923,-10.828270444958472,1e-06
fdmlp,48,0.10237244436058437,0.02707375310007343,0.6440744666762819,0.8028628115754647,0.0033722719705098917,870816,-16.69461236912588,-17.3475373159525,1e-06
fdmlp_lineal,12,0.061861015470589156,0.013623017414686031,0.8847249097401235,0.9406975844458805,-0.002489296158204889,217704,-2.5334021571171474,39.01629608259363,1e-06
fdmlp_lineal,24,0.0856663786617825,0.017488544348534696,0.7662739305420225,0.8756689783276987,-0.003354251025396236,435408,-6.372894415043281,28.64473011267188,1e-06
fdmlp_lineal,48,0.10200020133296672,0.022930261694059224,0.6466581681752874,0.8044854019747204,-0.0032164170691702464,870816,-14.477076279427655,7.981928412290277,1e-06
lstm_uni,12,0.06662655346131974,0.013557865344245525,0.8662800893978062,0.9327781922644515,0.0042667126449719315,217704,-8.463889268856537,-40.37655937937851,1e-06
lstm_uni,24,0.08970761105256231,0.0184944302219674,0.7437021745904067,0.8639373940937077,0.004280304734309973,435408,-13.50252232138595,-42.643415414143085,1e-06
lstm_uni,48,0.10561709446113389,0.025486337874290808,0.6211551133375077,0.7890819270401033,0.00402182758180139,870816,-20.894160826720363,-43.68403651040409,1e-06
mlp,12,0.06173463022261513,0.01230661392686123,0.8851954544951708,0.9412909249628912,-0.0026489062607930195,217704,-5.632707431443773,34.70798548454667,1e-06
mlp,24,0.08515334408531668,0.016137767105685402,0.7690650022018999,0.877126405046806,-0.0022310464457712,435408,-9.956412886454853,27.220253150704238,1e-06
mlp,48,0.10168262906494478,0.022224193803237785,0.6488549654962008,0.8056935539233654,-0.001613455194948624,870816,-19.037904560499843,8.18071726653847,1e-06
fdmlp_residual,12,0.06359983082712539,0.015038753741847705,0.8781534316978526,0.9383312996826975,-0.007526877532530104,217704,-5.6846018250673644,86.31608940544115,1e-06
fdmlp_residual,24,0.08586628868692943,0.018208765344108514,0.7651818170979992,0.8755134366373065,-0.006393742091103814,435408,-9.176631544231471,73.01131386168977,1e-06
fdmlp_residual,48,0.1019891628021174,0.023000958190556732,0.6467346418216015,0.8048858920587048,-0.005566119521457909,870816,-17.92441853423988,44.83367208204881,1e-06
mlp_residual,12,0.06171442303710271,0.013207790918581984,0.8852705986100838,0.9412595728453509,-0.0025409682160648745,217704,-5.219503579761871,46.5256575130238,1e-06
mlp_residual,24,0.08532966859302059,0.01707753393577967,0.7681076315063072,0.8765442621927553,-0.0024561054893494734,435408,-8.956242982136294,38.4010756930272,1e-06
mlp_residual,48,0.10173109835408758,0.022957398753062318,0.6485201235121487,0.8054334102207121,-0.001858192355539225,870816,-17.81966200977525,16.84250255009986,1e-06
persistencia,12,0.08231831088000931,0.010765627560802236,0.7958759003867326,0.8967976915331911,6.640773104216885e-05,217704,-1.851660818435446,0.061816060438954136,1e-06
persistencia,24,0.113138689860767,0.016469206292261507,0.5923301165251845,0.7995554726359991,0.0009412959784398572,435408,1.4921404671724443,0.014460484567190185,1e-06
persistencia,48,0.13785925091092655,0.024464057880525737,0.3545466980258981,0.6936465045265611,0.001330092255295648,870816,3.112371898907114,0.061263510390324384,1e-06
