fdmlp época 1: train=0.504571, val=0.487655, RMSE=0.112545 mm/h, 52.0s, paciencia=0
fdmlp época 2: train=0.436151, val=0.469040, RMSE=0.110376 mm/h, 49.3s, paciencia=0
fdmlp época 3: train=0.419073, val=0.445734, RMSE=0.107599 mm/h, 47.7s, paciencia=0
fdmlp época 4: train=0.408927, val=0.444137, RMSE=0.107406 mm/h, 53.6s, paciencia=0
fdmlp época 5: train=0.402618, val=0.433624, RMSE=0.106127 mm/h, 51.6s, paciencia=0
fdmlp época 6: train=0.397470, val=0.429460, RMSE=0.105616 mm/h, 50.4s, paciencia=0
fdmlp época 7: train=0.392892, val=0.423542, RMSE=0.104886 mm/h, 51.1s, paciencia=0
fdmlp época 8: train=0.388520, val=0.421496, RMSE=0.104632 mm/h, 51.4s, paciencia=0
fdmlp época 9: train=0.385148, val=0.427053, RMSE=0.105320 mm/h, 51.6s, paciencia=1
fdmlp época 10: train=0.381118, val=0.410376, RMSE=0.103243 mm/h, 50.6s, paciencia=0
fdmlp época 11: train=0.378002, val=0.411535, RMSE=0.103389 mm/h, 77.6s, paciencia=1
fdmlp época 12: train=0.376061, val=0.408908, RMSE=0.103058 mm/h, 91.1s, paciencia=0
fdmlp época 13: train=0.373721, val=0.408009, RMSE=0.102945 mm/h, 159.5s, paciencia=0
fdmlp época 14: train=0.371566, val=0.404972, RMSE=0.102561 mm/h, 101.2s, paciencia=0
fdmlp época 15: train=0.369083, val=0.403485, RMSE=0.102372 mm/h, 121.1s, paciencia=0
fdmlp época 16: train=0.365833, val=0.405067, RMSE=0.102573 mm/h, 125.1s, paciencia=1
fdmlp época 17: train=0.364373, val=0.407701, RMSE=0.102906 mm/h, 105.7s, paciencia=2
fdmlp época 18: train=0.362661, val=0.409087, RMSE=0.103081 mm/h, 86.9s, paciencia=3
fdmlp época 19: train=0.358879, val=0.405036, RMSE=0.102569 mm/h, 103.7s, paciencia=4
fdmlp época 20: train=0.357729, val=0.407882, RMSE=0.102929 mm/h, 132.5s, paciencia=5
