hour,RMSE,MAE,NSE,R,bias_mm_h,n_values
1,0.04581261412890093,0.014828673389296465,0.9382681908460488,0.9687968296779643,0.001426662525524672,18142
2,0.05348091958583666,0.015199722998644968,0.9192721747007413,0.9588151765560795,0.0013244204596482827,18142
3,0.059829298878037875,0.01565827936014928,0.9014763437291802,0.9495879935978709,0.0012240399835913745,18142
4,0.06524885720516528,0.016447401913228146,0.8841423305721168,0.940509140855543,0.0015718539524354701,18142
5,0.0667435984449532,0.017096288355105068,0.877503654040511,0.9369933557837202,0.0013677290609038894,18142
6,0.06692081477918564,0.017780141080403537,0.8724625383707829,0.9342213454193695,0.0013036265378647356,18142
7,0.06645552638609938,0.018269107553285195,0.8692399854349431,0.9324559724025707,0.0015834714537668758,18142
8,0.06534746184363896,0.018867616496584902,0.8670811250185185,0.9312290511980617,0.0018372258443265074,18142
9,0.0647652562100099,0.01936651683228338,0.8630557317890645,0.9292076910899851,0.0028730684604627494,18142
10,0.0665321031731224,0.02003398326641774,0.8500375935791118,0.9222898376938172,0.0032117228346953417,18142
11,0.07140289439070116,0.020733150517451046,0.8260369708397993,0.9092434731290535,0.0032994219348415474,18142
12,0.07573292656690471,0.021333373768017132,0.8023289209062086,0.8962490958030604,0.003441808412132291,18142
13,0.07887668994466665,0.021891729221222747,0.7818212237443649,0.8849838752677218,0.0044952894087849585,18142
14,0.08106339872299484,0.02273771985295192,0.7646165736107244,0.8754247290934732,0.00429115827296864,18142
15,0.08359024442299277,0.023258124847411934,0.7459867532769063,0.8647295289055655,0.004264415768582149,18142
16,0.08600058766901997,0.023870456139692197,0.7288812954287494,0.8546377751699276,0.004394521756339494,18142
17,0.0883101515349331,0.02442668894122647,0.712722742925804,0.8451749397242725,0.00414110295127273,18142
18,0.09126317607216318,0.024934428615243174,0.6933413915829785,0.8334666897034642,0.004213423373831335,18142
19,0.09582642845010532,0.025605131440588378,0.6661476825458649,0.8170188759674001,0.003573838935748029,18142
20,0.11202448808006134,0.02654200751040874,0.5870660529941497,0.7669556502971712,0.003862832903695079,18142
21,0.13171691631015126,0.027215994895506475,0.5016876849942293,0.7090338401898991,0.0035934086959004403,18142
22,0.14241014407527938,0.028001321259531944,0.45426401121829973,0.6748653966067768,0.0036950979958556844,18142
23,0.12576150597155938,0.02827404107380089,0.5066687807076949,0.7135130066669602,0.004529934090210731,18142
24,0.1092810088015733,0.028549493992091297,0.5692906092016775,0.7564839232539003,0.005265166403778857,18142
25,0.10257269619621533,0.028822386905011925,0.5936492671314918,0.772914513481656,0.005594478300755215,18142
26,0.10149925801468082,0.02932725173283477,0.5939840651868756,0.7734425585090231,0.006118154635864505,18142
27,0.10515286976328897,0.02968752460199047,0.5726634755229304,0.7592398883780475,0.00572462332440548,18142
28,0.11197605088891212,0.02980469768971397,0.5387341555630267,0.7359014282762453,0.0046914464968409435,18142
29,0.11180474101835892,0.030477846802504656,0.536261824559763,0.7341776745571322,0.005241430524473949,18142
30,0.1126668901696875,0.030808124444504488,0.5297730717206242,0.7297915611466871,0.005552134404234792,18142
31,0.10970757669775097,0.030931918402216707,0.5410767931025002,0.7371671123257522,0.005136568610686678,18142
32,0.10964674427340212,0.031204974870625547,0.539446281195435,0.7357507504382711,0.005032145399940471,18142
33,0.11455626108343926,0.03148723341523938,0.5159347215148309,0.7194453872981182,0.004764051042759653,18142
34,0.11812692900737884,0.03193424377872214,0.5009669633046661,0.7085544535438255,0.00455817383175508,18142
35,0.11807624091316538,0.03243882558807661,0.5005748811395828,0.7081233786670209,0.0043868716976828825,18142
36,0.11826591592366906,0.032333476932676054,0.4976866145991339,0.7057998194888742,0.0034713871457690885,18142
37,0.11906171800147763,0.032707262690640664,0.4932563236968157,0.7026159047286564,0.0033440030421934288,18142
38,0.11999017673190926,0.03292600410251025,0.48780293230328264,0.6986430991459234,0.002873069184185093,18142
39,0.12075263504198551,0.03304654481847915,0.48230467305325564,0.6946590555607756,0.0023383486788868305,18142
40,0.1204091735816765,0.032927939135792825,0.4830835845130268,0.6951991428360883,0.0018474609073177522,18142
41,0.11992677330517017,0.03357114092620486,0.4851374170505094,0.6969287694631974,0.0022037347016798515,18142
42,0.12057863854947366,0.034264630545869874,0.48310577113508935,0.6954715002436226,0.002452221128829804,18142
43,0.1223848595125583,0.03441668951950761,0.47883765474153295,0.6927058460751697,0.0016964569610594883,18142
44,0.12230882791427644,0.034924533380739586,0.480826071149585,0.6942531334642337,0.002030692326529338,18142
45,0.12097928643797669,0.03477392010454692,0.48578467922050894,0.6977482812141375,0.000942824489554688,18142
46,0.12096967281909124,0.0351720341014949,0.4852662872391893,0.6974601668722303,0.0018116587809046012,18142
47,0.11962548160922007,0.0355093353477358,0.48888493416665824,0.699865835756783,0.0027050223066647427,18142
48,0.1182432661771549,0.03512021564534273,0.49192650633221124,0.7021099944332626,0.002566854644338607,18142
