fdmlp_lineal época 1: train=0.466489, val=0.453205, RMSE=0.108497 mm/h, 149.0s, paciencia=0
fdmlp_lineal época 2: train=0.407291, val=0.433281, RMSE=0.106085 mm/h, 130.4s, paciencia=0
fdmlp_lineal época 3: train=0.393703, val=0.417344, RMSE=0.104116 mm/h, 146.8s, paciencia=0
fdmlp_lineal época 4: train=0.385120, val=0.414809, RMSE=0.103799 mm/h, 84.2s, paciencia=0
fdmlp_lineal época 5: train=0.380496, val=0.407345, RMSE=0.102861 mm/h, 74.5s, paciencia=0
fdmlp_lineal época 6: train=0.376461, val=0.405512, RMSE=0.102629 mm/h, 62.0s, paciencia=0
fdmlp_lineal época 7: train=0.373503, val=0.407157, RMSE=0.102837 mm/h, 112.2s, paciencia=1
fdmlp_lineal época 8: train=0.370931, val=0.406016, RMSE=0.102693 mm/h, 114.3s, paciencia=2
fdmlp_lineal época 9: train=0.366725, val=0.406351, RMSE=0.102735 mm/h, 111.1s, paciencia=3
fdmlp_lineal época 10: train=0.364243, val=0.402434, RMSE=0.102239 mm/h, 119.5s, paciencia=0
fdmlp_lineal época 11: train=0.361558, val=0.402941, RMSE=0.102303 mm/h, 71.6s, paciencia=1
fdmlp_lineal época 12: train=0.359308, val=0.402778, RMSE=0.102283 mm/h, 68.9s, paciencia=2
fdmlp_lineal época 13: train=0.356086, val=0.401724, RMSE=0.102149 mm/h, 74.7s, paciencia=0
fdmlp_lineal época 14: train=0.354771, val=0.400773, RMSE=0.102028 mm/h, 65.8s, paciencia=0
fdmlp_lineal época 15: train=0.352380, val=0.403248, RMSE=0.102342 mm/h, 32.8s, paciencia=1
fdmlp_lineal época 16: train=0.349087, val=0.400556, RMSE=0.102000 mm/h, 23.9s, paciencia=0
fdmlp_lineal época 17: train=0.346961, val=0.411001, RMSE=0.103321 mm/h, 24.9s, paciencia=1
fdmlp_lineal época 18: train=0.345110, val=0.408333, RMSE=0.102986 mm/h, 24.3s, paciencia=2
fdmlp_lineal época 19: train=0.343045, val=0.407043, RMSE=0.102823 mm/h, 36.5s, paciencia=3
fdmlp_lineal época 20: train=0.338563, val=0.405284, RMSE=0.102600 mm/h, 27.2s, paciencia=4
fdmlp_lineal época 21: train=0.336463, val=0.409633, RMSE=0.103149 mm/h, 22.0s, paciencia=5
