hour,RMSE,MAE,NSE,R,bias_mm_h,n_values
1,0.041067863684869026,0.009063855675337733,0.9503929866391202,0.9749032836294221,0.00018918633906725468,18142
2,0.048746662188503126,0.0092863117269061,0.9329320103758922,0.9659246426436418,-0.0003162520441398355,18142
3,0.05557471304066686,0.00995526923877641,0.9149905607986853,0.956716969277338,-0.0009231815320038353,18142
4,0.06106808591423822,0.011175145877796503,0.8985136613688277,0.9481056449884465,-0.0012110851733027883,18142
5,0.06346058133380532,0.012621793730167977,0.8892580947831545,0.9433675270765096,-0.0024048646573379333,18142
6,0.06405421231106963,0.014053174924436822,0.8831548423332821,0.9400009124059009,-0.0032826399729472583,18142
7,0.0638001215775311,0.01438296686381122,0.8794809309745322,0.9379669556588798,-0.0029246756215388758,18142
8,0.06338418268623333,0.015202578096289072,0.8749478973652152,0.9356183422168131,-0.0036169891618914956,18142
9,0.0631645056197376,0.015868322033070065,0.8697415558794659,0.9329487159051345,-0.003465935037309083,18142
10,0.06530391385637276,0.016665377319234592,0.8555231323062176,0.9254767961528573,-0.0037761976344531318,18142
11,0.07055425059221528,0.017063253649830485,0.830147597419541,0.9116274489181632,-0.003492996047499678,18142
12,0.07476831303291659,0.01813815984057541,0.807332342305678,0.8991628693271333,-0.004645923355102011,18142
13,0.07834395211988603,0.017633102438130273,0.7847584557089962,0.8864454670564954,-0.0032479967568311233,18142
14,0.08048486686335395,0.018714223511728797,0.7679643453888878,0.8770535467559583,-0.0035206442092365017,18142
15,0.08285485156092852,0.019351428429990818,0.7504365030480393,0.8672085906489334,-0.004022268299965428,18142
16,0.08550398933745397,0.019880629785352398,0.7320033293234095,0.8565141089460612,-0.0038860211596519916,18142
17,0.08779884534750511,0.020132252122586215,0.7160397208192664,0.8469992375245494,-0.003506343535319011,18142
18,0.09095461130527917,0.02089591984291645,0.6954115382091287,0.8346137548913634,-0.003892001478359707,18142
19,0.09543849845289464,0.021544034610107097,0.6688452511207656,0.8187139464559751,-0.00427936018684364,18142
20,0.11223343579697957,0.022547589529881337,0.5855242102590063,0.7661046746525126,-0.004890068570526856,18142
21,0.1320198034062019,0.023203110774794887,0.49939328103971103,0.7075193847876026,-0.004947001239400904,18142
22,0.1427455957718806,0.023955746291506656,0.4516899856684631,0.6732672499305691,-0.004933843523758762,18142
23,0.12596381724324449,0.023989709214182874,0.5050802700677282,0.7121218763719965,-0.00495572899698532,18142
24,0.10980876926005517,0.024401108837422518,0.5651204377223615,0.7536779973769961,-0.004549192754171753,18142
25,0.10305884036798288,0.024381708039537126,0.5897883337442287,0.7700484641269528,-0.0036245489565481666,18142
26,0.10182811131322367,0.024601923144191025,0.5913488542288012,0.7709534581901605,-0.003016565867456763,18142
27,0.10570279864091947,0.02523056927179365,0.5681820151494661,0.7558380980696804,-0.003809224400791409,18142
28,0.11263415898852717,0.025631982327218947,0.5332962991853818,0.7323141933069718,-0.0037333086434159436,18142
29,0.11213699179366574,0.025851788766813905,0.53350154260368,0.7320463059309994,-0.0034646945035131096,18142
30,0.11287725017580158,0.026206451696826682,0.5280155139657883,0.7282141240018799,-0.0028873156015140553,18142
31,0.1100187636444244,0.026397185532139912,0.5384696175854258,0.7352279377071698,-0.002688995508053098,18142
32,0.10988936357374914,0.02700484758361566,0.5374058586280461,0.7341863020484268,-0.0016314086268556104,18142
33,0.11473653592239864,0.027177533377311453,0.5144099955381944,0.7182261115547857,-0.002500751800718841,18142
34,0.11829339043642507,0.027661677227168998,0.499559523307588,0.707531275949885,-0.0028945368377831485,18142
35,0.1179376179629641,0.02807689569433724,0.501746855168667,0.7088364693776467,-0.0024194358952433653,18142
36,0.11806464889879267,0.028379668328344907,0.49939485139266127,0.7070787068210418,-0.002819899129925174,18142
37,0.1186655520663944,0.028651576653732466,0.49662299083982464,0.7048943328401673,-0.0019374203378553004,18142
38,0.1196590296386385,0.0288057741761951,0.49062613879646366,0.7006715484119961,-0.0027383212526282653,18142
39,0.12055694426790843,0.02934793002995348,0.4839812594001154,0.695916405078709,-0.002691890847907087,18142
40,0.12038139253107087,0.02956919030592237,0.4833220850197678,0.695518387245493,-0.0033301032962702835,18142
41,0.11995017374210365,0.029795678752240158,0.4849364746839343,0.696658564018298,-0.0033122664922077146,18142
42,0.12033045227767569,0.0305041453601012,0.48523142171335365,0.6968917520132868,-0.002843724533633621,18142
43,0.12238230326196838,0.030948424523588345,0.47885942553319427,0.6924951557298815,-0.003219290791659828,18142
44,0.12243778684783614,0.03137726564652319,0.4797306896707816,0.6932519079337122,-0.003008905394794452,18142
45,0.12111827299044327,0.031187828275482124,0.48460249224938423,0.697175896149868,-0.004253995096253802,18142
46,0.12109124593065469,0.03124909409087048,0.4842311645907226,0.6969361100369923,-0.004151467987194413,18142
47,0.11958007289038997,0.0314860242850178,0.4892728895592169,0.7004139362256908,-0.003412855455361955,18142
48,0.11840299490977552,0.031402333861083515,0.49055291862306016,0.7011916811333416,-0.003495067453076792,18142
