hour,RMSE,MAE,NSE,R,bias_mm_h,n_values
1,0.04236907254499367,0.012139422716095836,0.9471996535771045,0.973973425039651,-0.0069529180741267765,18142
2,0.050853900088879085,0.012002939310650145,0.9270082036578955,0.9640235287680076,-0.007747702436564455,18142
3,0.05855296511126166,0.012501055695253246,0.9056351011979596,0.9534421887877552,-0.008007936394083197,18142
4,0.06396129004334809,0.013300566026012721,0.8886696952898254,0.9446553665830972,-0.00795284222301256,18142
5,0.06678513996445577,0.01430678544682285,0.8773511220202598,0.9388007443948351,-0.008297478945861064,18142
6,0.06691192283706962,0.015438883155649029,0.8724964285852912,0.9362867132888556,-0.008788633790675335,18142
7,0.06599317731527865,0.015399068744563775,0.8710531217520113,0.9349598641817959,-0.007770162046641231,18142
8,0.06525238568336489,0.015962527332658204,0.8674676196920594,0.9326178449658701,-0.007580310091805462,18142
9,0.06444172233056869,0.01657361908598917,0.8644205204948708,0.9307274138516343,-0.007200548116018176,18142
10,0.06592158784846655,0.016964147758908508,0.852777151778195,0.9243150362932615,-0.0067167138859936075,18142
11,0.07066876652160413,0.017429517588591115,0.8295957783360579,0.9115351703960551,-0.006169559385355619,18142
12,0.074803799733199,0.018446512040977896,0.8071494102138775,0.8993933020500124,-0.007137725000223753,18142
13,0.07790957078263108,0.018123232982039206,0.7871386703533882,0.8878298925301851,-0.005557428564688765,18142
14,0.0799133947698192,0.018835526243698466,0.7712477238768419,0.8788450757042418,-0.005167572181807616,18142
15,0.0822137593698851,0.019544474707498306,0.7542835736698323,0.8693545408109802,-0.005904018676468092,18142
16,0.08473206491716559,0.02009035663929747,0.736820399439216,0.8592325044448449,-0.005570914408988832,18142
17,0.0868420452792229,0.020334251878361343,0.7221949909993404,0.8505565130313482,-0.0052801066180179265,18142
18,0.0899880961844356,0.02075800010532211,0.7018504687540615,0.8383993725103485,-0.0050368364754430515,18142
19,0.09471791483458782,0.021614555849342333,0.6738269692770507,0.8216653479697498,-0.005600736396301902,18142
20,0.11146353996973105,0.022683835598316552,0.5911911256690018,0.7697063777714725,-0.005612510871877042,18142
21,0.131379084907335,0.023073042950661312,0.5042405789479227,0.7107395996072542,-0.005153310818620892,18142
22,0.14204647067439058,0.023663448344355166,0.4570477489624929,0.6768977743464226,-0.004837492987556624,18142
23,0.1252587725194739,0.023766252569674594,0.5106050946851972,0.715605020153501,-0.004790239721738275,18142
24,0.10888573728600803,0.02405834548786521,0.5724007426441529,0.7578626091664641,-0.004616112074621274,18142
25,0.10214236724195717,0.02423738431420624,0.5970516867429894,0.774063179302617,-0.00390422820519911,18142
26,0.10107983683037641,0.024519540344496115,0.5973326579334508,0.7741107573132501,-0.003089071585352414,18142
27,0.10497010144380206,0.025115215550369215,0.5741477089425001,0.7589806379335602,-0.004149228184083118,18142
28,0.1119383894172562,0.02548467575536511,0.5390443831338372,0.7353596796677042,-0.004569267476362502,18142
29,0.11152641181426763,0.025618730428862636,0.5385678308865907,0.7347905706988987,-0.004222240193990274,18142
30,0.11220336523742284,0.025745497863854803,0.5336342512420238,0.7312878951442423,-0.004830499038679611,18142
31,0.10950055461846361,0.025999339884140372,0.54280716758298,0.7374511804025281,-0.004223015680600359,18142
32,0.10940547195370058,0.026274744249605582,0.5414709032486458,0.7362874145886306,-0.003966474354384005,18142
33,0.11441981035157951,0.02659300298368621,0.5170871984442423,0.7195976859813752,-0.004395162059047699,18142
34,0.11807773137366309,0.026944637232499808,0.5013825524034929,0.7087319023826353,-0.0050519342708948535,18142
35,0.11779962145273085,0.027413601216651432,0.5029121656210698,0.7097158612454711,-0.004440577380832179,18142
36,0.11790510658199162,0.027645528803177166,0.5007468859400759,0.7082253794584839,-0.00429520823290836,18142
37,0.11864740114006574,0.027909989190550776,0.4967769708294074,0.7055142979648319,-0.004249557667874607,18142
38,0.11992736528496147,0.028171493543231476,0.4883390331625168,0.699612823582457,-0.004704598020824474,18142
39,0.12066758266114778,0.02869610702083012,0.48303369587494915,0.6958484015697718,-0.004266513273793839,18142
40,0.12051837674787658,0.028737690295261038,0.48214554125157216,0.6954540865534516,-0.0051091699545606955,18142
41,0.12017325247210645,0.029066005005923885,0.4830189024695276,0.696537082785392,-0.005459987618267299,18142
42,0.12050880701653835,0.029855793690490528,0.4837043027602481,0.6969196331999585,-0.0047485955011665835,18142
43,0.12257872700168916,0.03013942448629451,0.47718522059830415,0.693139864706454,-0.005662283054743354,18142
44,0.12255975258655763,0.030343925754147138,0.47869364648998547,0.6942800386803556,-0.005304227311434027,18142
45,0.12119236386136335,0.030479573710998437,0.4839717380454829,0.6985435215197355,-0.005968925936220996,18142
46,0.1211856497336992,0.03050606927252896,0.48342665524791906,0.698182960114562,-0.006025954247616882,18142
47,0.11973044078824419,0.0308402473391887,0.48798763784615085,0.7007994423663352,-0.005189285427019618,18142
48,0.11861513845136734,0.03069740695175827,0.48872572280946847,0.7017982536793775,-0.005897922167631329,18142
