gnn época 1: train=0.547023, val=0.529187, RMSE=0.117240 mm/h, 48.2s, paciencia=0
gnn época 2: train=0.447710, val=0.472436, RMSE=0.110775 mm/h, 42.5s, paciencia=0
gnn época 3: train=0.429586, val=0.456106, RMSE=0.108843 mm/h, 42.2s, paciencia=0
gnn época 4: train=0.417072, val=0.448508, RMSE=0.107933 mm/h, 42.5s, paciencia=0
gnn época 5: train=0.409301, val=0.435889, RMSE=0.106404 mm/h, 41.9s, paciencia=0
gnn época 6: train=0.403191, val=0.434002, RMSE=0.106173 mm/h, 42.4s, paciencia=0
gnn época 7: train=0.398839, val=0.434534, RMSE=0.106238 mm/h, 41.7s, paciencia=1
gnn época 8: train=0.394953, val=0.426682, RMSE=0.105274 mm/h, 42.0s, paciencia=0
gnn época 9: train=0.391848, val=0.434472, RMSE=0.106231 mm/h, 42.2s, paciencia=1
gnn época 10: train=0.389168, val=0.418233, RMSE=0.104227 mm/h, 42.1s, paciencia=0
gnn época 11: train=0.385958, val=0.416058, RMSE=0.103955 mm/h, 42.5s, paciencia=0
gnn época 12: train=0.384570, val=0.419750, RMSE=0.104415 mm/h, 42.0s, paciencia=1
gnn época 13: train=0.381246, val=0.415464, RMSE=0.103881 mm/h, 41.6s, paciencia=0
gnn época 14: train=0.380445, val=0.407818, RMSE=0.102921 mm/h, 41.6s, paciencia=0
gnn época 15: train=0.378806, val=0.416712, RMSE=0.104037 mm/h, 41.2s, paciencia=1
gnn época 16: train=0.376195, val=0.416063, RMSE=0.103956 mm/h, 39.7s, paciencia=2
gnn época 17: train=0.375330, val=0.419957, RMSE=0.104441 mm/h, 29.7s, paciencia=3
gnn época 18: train=0.374299, val=0.418722, RMSE=0.104287 mm/h, 29.9s, paciencia=4
gnn época 19: train=0.371639, val=0.411298, RMSE=0.103359 mm/h, 43.3s, paciencia=5
