lstm época 1: train=0.466695, val=0.453430, RMSE=0.108524 mm/h, 51.7s, paciencia=0
lstm época 2: train=0.407231, val=0.433985, RMSE=0.106171 mm/h, 47.9s, paciencia=0
lstm época 3: train=0.393992, val=0.419164, RMSE=0.104342 mm/h, 46.5s, paciencia=0
lstm época 4: train=0.385468, val=0.418804, RMSE=0.104298 mm/h, 47.9s, paciencia=0
lstm época 5: train=0.381198, val=0.407645, RMSE=0.102899 mm/h, 46.7s, paciencia=0
lstm época 6: train=0.377252, val=0.405287, RMSE=0.102601 mm/h, 46.4s, paciencia=0
lstm época 7: train=0.373974, val=0.404488, RMSE=0.102500 mm/h, 47.2s, paciencia=0
lstm época 8: train=0.371552, val=0.405861, RMSE=0.102673 mm/h, 47.5s, paciencia=1
lstm época 9: train=0.367879, val=0.405051, RMSE=0.102571 mm/h, 49.1s, paciencia=2
lstm época 10: train=0.364910, val=0.399975, RMSE=0.101926 mm/h, 47.2s, paciencia=0
lstm época 11: train=0.363227, val=0.400888, RMSE=0.102042 mm/h, 46.9s, paciencia=1
lstm época 12: train=0.361116, val=0.400878, RMSE=0.102041 mm/h, 49.7s, paciencia=2
lstm época 13: train=0.357649, val=0.402024, RMSE=0.102187 mm/h, 45.7s, paciencia=3
lstm época 14: train=0.356857, val=0.397309, RMSE=0.101586 mm/h, 45.2s, paciencia=0
lstm época 15: train=0.354844, val=0.399374, RMSE=0.101850 mm/h, 45.2s, paciencia=1
lstm época 16: train=0.351353, val=0.402080, RMSE=0.102194 mm/h, 45.1s, paciencia=2
lstm época 17: train=0.349428, val=0.406701, RMSE=0.102780 mm/h, 45.5s, paciencia=3
lstm época 18: train=0.347783, val=0.402604, RMSE=0.102261 mm/h, 45.6s, paciencia=4
lstm época 19: train=0.345007, val=0.404570, RMSE=0.102510 mm/h, 45.3s, paciencia=5
