epoch,train_mse_normalized,validation_mse_normalized,validation_rmse_mm_h,train_seconds,validation_seconds,peak_allocated_mib,skipped_amp_steps,best_epoch
1,0.4666946573656375,0.45342993763426814,0.10852367111984168,51.67670480000379,7.79817660000117,249.259765625,4,1
2,0.40723060449535453,0.4339853118116317,0.10617124171953626,47.864683399995556,3.1500184000033187,249.259765625,1,2
3,0.3939916179809045,0.4191637274817087,0.10434249758597872,46.51953550000326,3.1535367999895243,249.259765625,2,3
4,0.3854682692841986,0.4188039621558442,0.10429770975193182,47.90480530000059,3.1831823000102304,249.259765625,3,4
5,0.3811983444475987,0.4076453567501799,0.10289887604865815,46.701668900001096,3.141682299989043,249.259765625,0,5
6,0.3772515047921205,0.40528736362487766,0.10260083912462165,46.42239769999287,3.1661343000014313,249.259765625,3,6
7,0.37397366122220915,0.4044876561925153,0.10249956386135334,47.19875939999474,3.201676700002281,249.259765625,1,7
8,0.3715517144808619,0.40586127113604703,0.10267345742805983,47.490804999994,3.1720487999991747,249.259765625,1,7
9,0.36787927099041584,0.4050510722195279,0.10257092549626191,49.13712769999984,3.164610599997104,249.259765625,1,7
10,0.3649099194217385,0.39997477837724715,0.10192616505768731,47.16251639999973,3.163316299993312,249.259765625,2,10
11,0.3632270190774456,0.4008876069555015,0.10204240750207,46.85643990000244,3.134547099994961,249.259765625,1,10
12,0.36111595054610274,0.40087762127960636,0.10204113661125597,49.72773270000471,3.047128000005614,249.259765625,1,10
13,0.3576488334098904,0.40202367507263254,0.10218689327435723,45.68107120000059,3.070627900000545,249.259765625,4,10
14,0.35685705900215725,0.39730860132307755,0.10158588411960516,45.22693550000258,3.0616196999908425,249.259765625,0,14
15,0.35484369956297196,0.39937424611104333,0.10184961905153288,45.18402080000669,3.057113200004096,249.259765625,1,14
16,0.35135272358287506,0.4020797620905855,0.10219402116083383,45.07477669999935,3.072254900005646,249.259765625,2,14
17,0.34942808049412694,0.4067005783870334,0.10277956520171769,45.46951959999569,3.1510854000080144,249.259765625,1,14
18,0.34778343727985234,0.40260397570488826,0.10226061745911177,45.62318490000325,3.0640824000001885,249.259765625,2,14
19,0.34500721587710026,0.4045701681005912,0.10251001783095559,45.334399700004724,3.053884499997366,249.259765625,2,14
