hour,RMSE,MAE,NSE,R,bias_mm_h,n_values
1,0.04014120365237075,0.010323008274028184,0.9526064065474584,0.97618215117313,-0.0033178839180491816,18142
2,0.04795102214337246,0.010017130406856126,0.9351035023484192,0.9672834046835918,-0.00331657607781286,18142
3,0.05546674318707282,0.011117600641929891,0.9153205504759272,0.9573019074900363,-0.0038621061728743265,18142
4,0.06121845825483471,0.011921425020569835,0.8980132518060724,0.9483080580697326,-0.003439767297683251,18142
5,0.06376865232089328,0.013371763179327858,0.8881802862690674,0.9432362896759181,-0.003962044961724138,18142
6,0.06450741744463433,0.014860237526671087,0.8814955553017279,0.9395813221865912,-0.004570129700566407,18142
7,0.06392499518254928,0.015005215066080465,0.8790086942981474,0.938097821747492,-0.004062279984979765,18142
8,0.06355513679470555,0.015806026664272985,0.8742724291506061,0.9353746833393611,-0.0042616401025652685,18142
9,0.06299531297336876,0.01648647818517164,0.8704384426545841,0.9332575868117173,-0.004033962366655733,18142
10,0.0648973095671765,0.017454154855529636,0.8573166551678124,0.9262819725124909,-0.004425840936615708,18142
11,0.069969890117572,0.017497848332220248,0.832949526246155,0.9128961123468159,-0.0033434126646919053,18142
12,0.07401127679510068,0.01852987258678593,0.8112141469881737,0.9010361727749329,-0.004101379236485816,18142
13,0.0771873469259073,0.017960752950682047,0.7910668391749329,0.889566499230473,-0.002588570461643198,18142
14,0.0795327520255122,0.019262168044054662,0.7734217154084835,0.8797500421325254,-0.003078272698675065,18142
15,0.08168447012554354,0.01969716573802306,0.7574372165074559,0.8706551483616767,-0.003474069408319713,18142
16,0.08437561927594216,0.020317649235440445,0.7390299975680388,0.8600158114451648,-0.0034539955564370874,18142
17,0.08667231515957974,0.020422717462170732,0.7232798525733175,0.8506762132981568,-0.002543470019863177,18142
18,0.08990473173915016,0.021176092365380494,0.7024026208395495,0.838337728900903,-0.0028673519523282225,18142
19,0.09467399724419429,0.021925731264906868,0.6741293706259647,0.8213360987834298,-0.0031007048128299675,18142
20,0.11156542087463242,0.022937740859010916,0.590443457819406,0.7686899976079511,-0.003308493421925,18142
21,0.1314546422125066,0.023515244867198946,0.5036701834822626,0.7099727112667839,-0.003155880959992625,18142
22,0.14206500628895183,0.024416587087305888,0.45690604026358317,0.676349007302586,-0.0036391134406434937,18142
23,0.1252648216814096,0.024346461451418413,0.5105578245346492,0.7150738635690367,-0.0033221767467879115,18142
24,0.10878823769027962,0.024578840256636546,0.573166170517091,0.7576949490838135,-0.0027217799303445056,18142
25,0.10194544396227243,0.02487114418593326,0.5986039008735613,0.7743574079955801,-0.0026301000139939998,18142
26,0.10086158959821007,0.025188964777006956,0.5990696246949954,0.7745156497119285,-0.0014844074579152466,18142
27,0.10469051360541352,0.025665363635969374,0.5764132027849793,0.7596581285271435,-0.0021818924022213395,18142
28,0.11176572372776443,0.026300282090825605,0.5404653404093533,0.735726731508,-0.0025829066917724347,18142
29,0.11136546893285755,0.026269403513969804,0.5398986481631323,0.7352347617435262,-0.0021357149389783447,18142
30,0.11198483355738938,0.02660797522123132,0.5354491066676207,0.7320022536613999,-0.0022209173526366237,18142
31,0.10924032396461587,0.026781241587938747,0.5449776445450226,0.7383969925428022,-0.0016932978973494414,18142
32,0.10902061456717047,0.027185716992361393,0.5446911796018044,0.7380709495046059,-0.0010992939007161892,18142
33,0.11403117116671196,0.02748056477284124,0.5203621575848025,0.7214484434249843,-0.0018392581583286788,18142
34,0.11774969231370593,0.02786356250316091,0.5041491840193085,0.7102382329881433,-0.002451452255693034,18142
35,0.11746564203114869,0.028367748241520725,0.5057268056645496,0.7113478274446374,-0.0017968876337426832,18142
36,0.11760281800168493,0.028535234636356405,0.5033036038765302,0.7100290120994039,-0.0023122798753983857,18142
37,0.11843993121221277,0.029007215091715884,0.4985353298510169,0.7066439540969229,-0.0013798060601984026,18142
38,0.11955952679159253,0.029140873774645408,0.4914729294861534,0.7020182188048925,-0.002127840333724538,18142
39,0.12036133424659538,0.0298612351391984,0.4856544363121825,0.6976973512393522,-0.0016087799775635267,18142
40,0.12032572299398617,0.03016834875275117,0.4837998427374465,0.6967863418137666,-0.0022611468333576874,18142
41,0.12004925645908786,0.0307423034269438,0.4840852050319274,0.6974835242608491,-0.0018728405032538802,18142
42,0.12048900079219298,0.03152980958136408,0.4838740003670031,0.6978242300959827,-0.0011962122381291944,18142
43,0.12261910558214649,0.03206302738147609,0.4768407236998282,0.6932037189776006,-0.0015337804884987599,18142
44,0.12274461924968554,0.03283409128657249,0.4771198043938196,0.6937881908071722,-0.0005880697551080904,18142
45,0.12132761398791403,0.03236064254257103,0.48281932497619906,0.6979792189782072,-0.00197293575783675,18142
46,0.12150355903290816,0.03262965383477651,0.4807128211245225,0.696643164657341,-0.0018760856312300363,18142
47,0.12005305511294401,0.033211188244582156,0.48522468025627796,0.6995774202785764,-0.0010828858274250417,18142
48,0.11892646016032975,0.03269179838796123,0.48603838177383796,0.6998760191674177,-0.002269706911705702,18142
