lstm_uni época 1: train=0.497938, val=0.503900, RMSE=0.114404 mm/h, 35.3s, paciencia=0
lstm_uni época 2: train=0.444187, val=0.477428, RMSE=0.111358 mm/h, 30.4s, paciencia=0
lstm_uni época 3: train=0.431808, val=0.460579, RMSE=0.109376 mm/h, 27.4s, paciencia=0
lstm_uni época 4: train=0.424664, val=0.451903, RMSE=0.108341 mm/h, 27.3s, paciencia=0
lstm_uni época 5: train=0.419539, val=0.445348, RMSE=0.107552 mm/h, 27.3s, paciencia=0
lstm_uni época 6: train=0.417257, val=0.444854, RMSE=0.107493 mm/h, 27.6s, paciencia=0
lstm_uni época 7: train=0.414420, val=0.441611, RMSE=0.107100 mm/h, 27.7s, paciencia=0
lstm_uni época 8: train=0.411912, val=0.438988, RMSE=0.106781 mm/h, 27.2s, paciencia=0
lstm_uni época 9: train=0.410323, val=0.437399, RMSE=0.106588 mm/h, 27.4s, paciencia=0
lstm_uni época 10: train=0.408200, val=0.437613, RMSE=0.106614 mm/h, 27.2s, paciencia=1
lstm_uni época 11: train=0.407664, val=0.433570, RMSE=0.106120 mm/h, 27.3s, paciencia=0
lstm_uni época 12: train=0.407105, val=0.433443, RMSE=0.106105 mm/h, 27.3s, paciencia=0
lstm_uni época 13: train=0.405997, val=0.434304, RMSE=0.106210 mm/h, 26.8s, paciencia=1
lstm_uni época 14: train=0.405284, val=0.434767, RMSE=0.106267 mm/h, 27.9s, paciencia=2
lstm_uni época 15: train=0.403852, val=0.430965, RMSE=0.105801 mm/h, 27.5s, paciencia=0
lstm_uni época 16: train=0.402804, val=0.429467, RMSE=0.105617 mm/h, 27.2s, paciencia=0
lstm_uni época 17: train=0.402680, val=0.442350, RMSE=0.107190 mm/h, 27.4s, paciencia=1
lstm_uni época 18: train=0.401962, val=0.433021, RMSE=0.106053 mm/h, 27.5s, paciencia=2
lstm_uni época 19: train=0.402068, val=0.431354, RMSE=0.105849 mm/h, 27.3s, paciencia=3
lstm_uni época 20: train=0.400400, val=0.432887, RMSE=0.106037 mm/h, 27.3s, paciencia=4
lstm_uni época 21: train=0.400365, val=0.430190, RMSE=0.105706 mm/h, 26.7s, paciencia=5
