hour,RMSE,MAE,NSE,R,bias_mm_h,n_values
1,0.03654990349467955,0.006061414164318759,0.9607073494122572,0.9808155358370089,0.0029007307522151463,18142
2,0.04700377772675062,0.006955812027097095,0.9376421621006206,0.9698388003168522,0.002582231858196041,18142
3,0.05657300018391673,0.008890288789343425,0.9119090861881618,0.9574698149850709,0.003179273529522766,18142
4,0.06414802972185753,0.010761740913045627,0.8880186723368017,0.945385617074481,0.0036151820966001474,18142
5,0.06799157692777773,0.012477503762886035,0.8728799291269425,0.9374547615660825,0.004108838110515859,18142
6,0.06976933600105997,0.013997760314956437,0.8613740585370386,0.9312620750158042,0.00435478470162574,18142
7,0.07077058706336886,0.015071273745777594,0.8517077850440209,0.9255993690784147,0.004641803662158529,18142
8,0.0707028565322414,0.016040979763399747,0.8444023154113327,0.9211817131406351,0.004895656674142211,18142
9,0.07057288002707679,0.016904181606146453,0.8373944495798834,0.9168008594890187,0.005221084616998376,18142
10,0.07242898778240955,0.017510629729902534,0.8222765530103147,0.9083028716163811,0.004972298257292975,18142
11,0.07757364841913725,0.01853609613018306,0.7946693590114274,0.8930187192017794,0.005212075312044595,18142
12,0.08164742243771946,0.019486703183889516,0.7702483646039143,0.8793605904018541,0.005516592168350796,18142
13,0.08456546717169713,0.019573197420005996,0.7492151760293855,0.86686995001355,0.004769822632137111,18142
14,0.08647257035972969,0.020633127430057407,0.7321553349274444,0.8570504987594922,0.0050220598740821805,18142
15,0.08842460659329042,0.021514531714805774,0.7157559072211456,0.8472696747197558,0.005292974442834454,18142
16,0.09059540710982966,0.02199285685011701,0.6991368454676405,0.8374393224714417,0.005004082014982504,18142
17,0.09273958819505819,0.02275365090432144,0.6831816617457953,0.827934135817209,0.005174222864025958,18142
18,0.09542633768750178,0.02264538597863028,0.6647255054890748,0.8167386428875103,0.004123763641553082,18142
19,0.09962567716074512,0.024040957032325144,0.6391502869853514,0.8009803892047985,0.004646595622078974,18142
20,0.11541312756668205,0.024721448442204173,0.561706458057045,0.7507462426604572,0.0039739498752343555,18142
21,0.1348484515412265,0.02474968393171213,0.4777115299608927,0.6918978007619571,0.002600433481227387,18142
22,0.14518721741576335,0.02577052603151133,0.43277220136628813,0.6583547769834964,0.0029826849852365085,18142
23,0.1283225343894602,0.02601754517467624,0.4863716370600383,0.6978913493092596,0.003415727171839101,18142
24,0.11194690258237219,0.026759030285904286,0.5480201086258664,0.7408970614743556,0.004520445278544525,18142
25,0.10508443047992268,0.026639766260125135,0.5735046954160777,0.7577736517275996,0.004077566093304271,18142
26,0.10416816802573012,0.027491667087220135,0.5723510633478174,0.7571096819929262,0.004678484211028796,18142
27,0.10786703758616498,0.02856329390821648,0.5503182550926978,0.7425170949086507,0.0050962560183895654,18142
28,0.11470425188275477,0.029690114883070395,0.5159836448509603,0.719145980937822,0.00564225012101152,18142
29,0.11460772972047559,0.029903572493203516,0.5127181578947415,0.7168347208644413,0.005365922493534392,18142
30,0.11546778663366629,0.030524561361752696,0.5061028001391135,0.7122536098887073,0.005576974604831683,18142
31,0.1129508990583321,0.03047465468867941,0.5135410929757951,0.7173935343906351,0.005138410622590122,18142
32,0.11309609944365219,0.030695283081200356,0.5100135552551064,0.7147923167998457,0.004726890582042785,18142
33,0.11818451512172008,0.031822812810039874,0.4847862717668793,0.6970276303418468,0.005297603015342071,18142
34,0.1220777857467688,0.03220313717616479,0.4670275539539389,0.6840415796594466,0.004950450285018599,18142
35,0.12217478346433971,0.032670174776166364,0.46530207259333367,0.6827135804098577,0.004691997527352649,18142
36,0.12215082484211032,0.033154028948445095,0.4641436766686111,0.6818675687124155,0.004654819580354924,18142
37,0.12312829122313297,0.0334799930440332,0.4580493360234976,0.6773234802351843,0.004445817596759266,18142
38,0.12420132983201271,0.03369527788515867,0.4512201033066813,0.6721723497437563,0.003911038176846372,18142
39,0.12480430145034584,0.03355722850496082,0.4469809152073245,0.6688554677706554,0.003177519354170914,18142
40,0.12463545637335104,0.0335814495055295,0.44615990984120313,0.66823284699893,0.002416531514253645,18142
41,0.12395932776026357,0.034276655752908475,0.4499306355581071,0.6711855182702701,0.0027434510262064073,18142
42,0.1243391603989989,0.03411950705301981,0.45036194726311973,0.6716665138929164,0.0016155560309868474,18142
43,0.1260815856774798,0.03512253396975096,0.4468779564773805,0.6692194516828673,0.002184494564712461,18142
44,0.12594911457127728,0.03484297558445428,0.4494617420335074,0.6716376969930817,0.0012651174574196081,18142
45,0.12432497479822972,0.03510260169617796,0.45695010434325223,0.6770541036159401,0.0014292580575795309,18142
46,0.12418525874672458,0.0356746575857313,0.45753753324024415,0.6780593826382404,0.0017726207457907223,18142
47,0.12268914216734353,0.03581450869140066,0.46236993887680233,0.6812090991353796,0.002287019804767486,18142
48,0.12110021252069265,0.0363774358913314,0.4670781660357173,0.6847557340318389,0.0031743608187327693,18142
