basin_id,RMSE,MAE,NSE,R,bias_mm_h,n_values,FHV_pct,FLV_pct,FLV_epsilon_mm_h
0,0.036217410093021325,0.010789464184837528,0.09877698221810294,0.3563184546016666,0.00040921788272640924,1920,-87.5565588952345,-112.3938292784964,1e-06
1,0.05870451556938162,0.01815863267353658,0.18603152469184392,0.45491418748645995,-0.008271432215406094,1920,-75.01767532943319,-309.7603334032406,1e-06
2,0.01710093258748393,0.01082872572199752,0.7859795364655215,0.9167066873625807,0.003355903583224954,1632,10.800657089443927,-991.6153686380277,1e-06
3,0.018995882365917947,0.010563314028392294,0.5613702118524784,0.8569932926972852,0.0053342890292090795,1920,18.863793739968166,-588.8971716680538,1e-06
4,0.025762233889230924,0.013811222285324058,0.0449320362875425,0.8881092565310528,0.008507151610354055,1872,69.87289469434941,-183.21396726895375,1e-06
5,0.08258993332989718,0.031706421878356414,0.6380069827539925,0.8113824705833768,-0.012741844245421376,528,-33.08422451036204,-646.1674005714546,1e-06
6,0.09121456234901879,0.0381000521335712,0.7942419170425828,0.9499267841983073,0.0290439237607643,1920,25.35764304309402,-1941.082448000452,1e-06
7,0.0225935529295837,0.013992117059284022,0.7825820722626821,0.9197167355767718,0.00542580610518122,1680,19.52371216861473,-1085.5920376750967,1e-06
8,0.018803174665456664,0.010368744391598739,-0.11338340766954524,0.737321413355744,0.0038022145696838074,1824,46.84672223809386,-1309.6545228195862,1e-06
9,0.04132058546741718,0.015882444660466413,0.555548145669078,0.781649257163767,0.003932568135898388,1920,-2.7980473525678025,-118.36015244157032,1e-06
10,0.19645120467970784,0.0318315940297983,0.04753592520769212,0.25577079039514056,-0.017332353710154774,1920,-83.8714657623586,43.306554988454295,1e-06
11,0.07434124514776282,0.02050328331339794,0.17966767210408663,0.4559403146611517,-0.004052809841232375,1920,-74.50321568292999,-62.998664586016396,1e-06
12,0.13872384782228167,0.04473088074829085,0.19243228363907983,0.4621315096166514,-0.02204343921901589,1728,-61.87650770149896,-135.52990774916813,1e-06
13,0.047446196478890104,0.015696886122884442,0.38073580373462035,0.6334019928113646,0.0011935736475435956,1872,-57.13600823551738,-57.1824884158863,1e-06
14,0.03087227897163547,0.016837874973847932,0.8602621768606686,0.9289727241041392,0.003951307479463353,1632,-21.093841739696288,-997.8044822365365,1e-06
15,0.03650179336896597,0.014014236143574872,0.8111313511087157,0.9058938559275889,-0.0005170805101847185,1728,4.906755228292654,-184.04790514444676,1e-06
16,0.030796534300104986,0.01702259498197236,0.7812053736773121,0.9228909914119788,0.01135324491430462,1920,-8.223598889795655,-540.9431392800059,1e-06
17,0.006804684031936727,0.0056240843049209415,-11157.124477621897,0.2063805062676751,0.0018641631353752096,1392,3924.441686496211,,1e-06
18,0.07056482751845718,0.016354806490608508,0.4522441474739626,0.7121598746824485,-0.012782941614712908,1776,-66.47084898326538,100.0,1e-06
19,0.10025822732275488,0.04874184584283891,0.8664833129580309,0.9382990822148682,0.006963131834830468,1920,17.531290754787793,47.92773856867204,1e-06
20,0.008203248335656225,0.006199203139274485,-2.1965620100328542,0.6580108982660113,0.002171170943054474,1440,53.567042550840725,-9605.362123129084,1e-06
21,0.054812598082569414,0.017123547816542364,0.4700847620212021,0.6968261203947542,-0.0013853942647983786,1920,-22.263794873997547,-468.75172444043994,1e-06
22,0.020980684044156588,0.011265097748394657,0.7902375952995988,0.8926771883182272,-0.00025357288715397764,1872,-15.292361558174985,-1381.855785612027,1e-06
23,0.0717218920594448,0.022734196773308214,0.7075571455967095,0.8850616419842205,-0.0011877490373687276,1920,-46.2152370731911,-1204.7749090686104,1e-06
24,0.020536815763298365,0.011787462502252311,0.478706227782984,0.7496960836427528,0.004137888471207892,1920,-24.312397783634808,-8066.947202920232,1e-06
25,0.08059494157237304,0.028282634520141244,0.5633351870703578,0.7600357034806455,-0.010937899558018379,1872,-32.725634535472565,49.24730324631151,1e-06
26,0.005487920770513892,0.0037970450160261866,-15.39013760220218,0.5841535715059795,-0.000643396913832639,1920,180.48672673994997,,1e-06
27,0.2959798475287223,0.05907376581574583,0.013479854998258989,0.2645031729039259,-0.046417867106088924,1632,-95.43319427688279,-69.41028397917849,1e-06
28,0.003789356796163397,0.003004624340013251,-1.3834042269118072,0.6573868008404288,0.0020000602395212987,1920,25.34545272073299,,1e-06
29,0.0313564056234442,0.01981600758212741,0.9149364587205285,0.9632314240891391,0.011857144866489118,1584,-4.52017718400289,-1205.557063069383,1e-06
30,0.20804608528725424,0.04150741127523361,0.1815599879153642,0.4348724659463414,-0.01889593482434672,1920,-50.18860023084628,-1424.0600870785931,1e-06
31,0.006342519457776632,0.00387937807929933,0.5899309636410432,0.8442448883437558,0.002205491208596981,1920,8.08610106389144,,1e-06
32,0.20823407286507575,0.0502644558881381,0.05955325499262565,0.27054446623566125,-0.025078301324530608,1920,-74.93830474755559,12.210056094883283,1e-06
33,0.08601803908834511,0.024016437238060462,0.42632850860773086,0.6712761569870338,-0.007751037084805527,1920,-53.9546426110311,-120.2011334695542,1e-06
34,0.08602360902282948,0.021340421247909296,0.0754492958071934,0.30209062807700915,-0.005627246666162613,1680,-60.124063884121554,-34.099135010150405,1e-06
35,0.02377802819850768,0.014513946779450212,-0.801708899174904,0.6904012029382514,0.00920068599499654,1104,23.20290435604287,-1063.8636036227342,1e-06
36,0.01677995878492562,0.01180746077362629,0.6828984897240811,0.8792933689968151,0.00438288003836836,1152,21.05833840350881,-327.8557841420392,1e-06
37,0.16189791625815966,0.05314269628494609,0.7261790511371504,0.8525770790250202,-0.0006472320323761475,1920,-11.562005102166882,-1945.8367621591017,1e-06
38,0.05299768068125828,0.025642257187185654,0.5757534988152988,0.8224195465230123,0.003279876461116752,1920,10.808208688985305,-1938.1856646553358,1e-06
39,0.03452569229834891,0.019587653249120422,0.7881400390042661,0.928934699463086,0.010882124000098891,1776,14.883837712157323,-1092.7240500445464,1e-06
40,0.048655810544289614,0.025771481467721364,0.9116260740920381,0.973254798197629,-0.022019712682813407,1200,-12.031314290878452,-976.3264132766785,1e-06
41,0.2139177018154007,0.07656619125821938,0.8097592612746884,0.9033731805230178,-0.022088055056519805,1920,-7.591244447548598,6.970599480016766,1e-06
42,0.04493449068642964,0.013352518562411812,0.32470001359745015,0.5702865117755401,0.0012074718484655022,1920,-51.84060108463334,-1004.5544577299756,1e-06
43,0.3216424079537103,0.10287903340067714,0.4883670555910671,0.7087129508343666,-0.05025700395926833,1920,-21.14087587793654,-112.74581281966651,1e-06
