hour,RMSE,MAE,NSE,R,bias_mm_h,n_values
1,0.040783266473365554,0.009257871957909359,0.9510781500739806,0.9753419736998036,-0.002532029573697168,18142
2,0.04868024939116821,0.008848089649844541,0.933114633694268,0.9663601324274523,-0.00241285695768853,18142
3,0.05600965813580516,0.009886265791619686,0.913654732924688,0.9567007102581979,-0.00281251463197994,18142
4,0.061968812520085355,0.010634814303282987,0.8954978280521942,0.9472742930255728,-0.0030860419917713424,18142
5,0.06406672456708982,0.01132647612175774,0.8871324908507572,0.9430081606513886,-0.0024454179287157992,18142
6,0.06441324212680065,0.01222316563167867,0.8818413154552506,0.9400386551692183,-0.002827838039714944,18142
7,0.06385068980573451,0.012894277286077192,0.8792898074822402,0.938387735513924,-0.002739516972860305,18142
8,0.06317804329521627,0.013435748659332223,0.8757599689276759,0.9363460517902302,-0.00283526155971612,18142
9,0.06272686538955058,0.013969517391335853,0.8715403144853833,0.9337907757302599,-0.002576316100717662,18142
10,0.06426612540836814,0.014359147512526229,0.8600786036461715,0.9275659313488676,-0.002468837765471205,18142
11,0.06974037882035818,0.015180447991552527,0.8340436280250558,0.9134065945122162,-0.002494398016776621,18142
12,0.07398118770391345,0.015663544825417788,0.8113676165759781,0.9009159544425824,-0.0025558455904066014,18142
13,0.07718265661205609,0.01630773141917209,0.7910922301842982,0.8895159302478949,-0.0020220548110335577,18142
14,0.07962716925232818,0.01706069119193728,0.7728834317198492,0.8792491528378682,-0.002207083008305193,18142
15,0.08204193450268435,0.017558271481581473,0.7553095837448067,0.8691600273898935,-0.0018104347927551587,18142
16,0.08474371655812286,0.018035263194035558,0.7367480139720641,0.8584090959846047,-0.001659693622232753,18142
17,0.08723808539648358,0.018958509818422613,0.7196553731548221,0.8484446318825166,-0.0019672941089581655,18142
18,0.09014848979425572,0.019334682097235174,0.7007866858844396,0.837201130942359,-0.001734019974473024,18142
19,0.09489060306850436,0.020289084910720952,0.672636537851418,0.8202229677982574,-0.0017494971400638954,18142
20,0.11146628515355333,0.021090176000645697,0.5911709886927623,0.7689462629855418,-0.0017825650109160487,18142
21,0.13148837370547575,0.022071382287915716,0.5034154325896228,0.7096171104212985,-0.0020927364464593517,18142
22,0.14207178766622902,0.02283295357701803,0.4568541905782155,0.6760709181641741,-0.002296022547711365,18142
23,0.12514433142377746,0.022966057461483606,0.5114989451209464,0.7154159935667842,-0.0014786224400992337,18142
24,0.10854181830520472,0.023122239973946572,0.5750976478301388,0.7586348521490833,-0.0009582156659848068,18142
25,0.10152941209416502,0.023625534297848846,0.60187335202801,0.7761267939243962,-0.000982707106836182,18142
26,0.1004364245740801,0.02407505264660322,0.6024426093437599,0.7764602513431839,-0.0003831809589652838,18142
27,0.1042167520216457,0.024734518068964966,0.5802382882289883,0.7621092377073878,-0.0005768873866970049,18142
28,0.11126437009112673,0.025137327118353796,0.5445788133052891,0.7381897723580557,-0.0008638628325450748,18142
29,0.11104260005771167,0.02532000778248991,0.542562616932565,0.736864981093746,-0.001054312761059716,18142
30,0.11192449726876906,0.025985112053080513,0.5359495623979948,0.7323015543320504,-0.0010621123670353635,18142
31,0.1091646487798602,0.026229742034022015,0.5456078509137113,0.7387663771153821,-0.0007560004215758084,18142
32,0.10923120978104979,0.02644781696640739,0.5429304397602419,0.7368835975423033,-0.0006502688114128609,18142
33,0.11423441983043559,0.026886966576076185,0.5186508249968299,0.7201816928281437,-0.0003205101248617472,18142
34,0.11798130082674249,0.027070870285704134,0.5021966317234658,0.7087236669965316,-0.0010825472221616071,18142
35,0.1179117909620158,0.02769569412961965,0.5019650548517055,0.7086428717911416,-0.0010439101797762185,18142
36,0.11802626354842939,0.02791023658254523,0.4997203134247059,0.7071818044198,-0.0010992752005837417,18142
37,0.11899900776323993,0.02829253394798483,0.4937899905781853,0.7030677253363291,-0.0012249708119167996,18142
38,0.12015204933022566,0.028733513024139082,0.4864200425080354,0.6979574243741287,-0.0012745088679949968,18142
39,0.12088010121535821,0.029083758546738246,0.4812111404608268,0.6943206639064181,-0.0013894543539596602,18142
40,0.12064079727636362,0.029574676559162356,0.4810929513224421,0.6945380519262885,-0.0014067403497113437,18142
41,0.12033561845212491,0.029885616731880192,0.48162097328725906,0.6953401454265112,-0.0015643993576226827,18142
42,0.12078870857780746,0.03080095716148968,0.481303153802773,0.695358411876691,-0.0007831916820209781,18142
43,0.12278622249031937,0.03133421387584748,0.4754137301100163,0.6918260620689818,-0.0011167833839720374,18142
44,0.12289620857467778,0.031853593701332956,0.4758274951873508,0.6927679137177191,-0.0009982049274722558,18142
45,0.12143566362486863,0.03190677689742811,0.48189775295909065,0.6971987277763209,-0.0012360931425239002,18142
46,0.12159665055415035,0.03219213929282966,0.4799167991403399,0.6961893615379382,-0.0012378295022807658,18142
47,0.1201966798726703,0.032547724481928025,0.4839922466946218,0.6988433900386507,-0.0006670539744837921,18142
48,0.11884585719255332,0.03213050925648781,0.48673482549345004,0.7005249700232876,-0.0011259289315553264,18142
