epoch,train_mse_normalized,validation_mse_normalized,validation_rmse_mm_h,train_seconds,validation_seconds,peak_allocated_mib,skipped_amp_steps,best_epoch
1,0.4663170799082658,0.4560166740042501,0.10883278491499299,48.76680589999887,7.3466023999790195,250.25341796875,4,1
2,0.4074396755878381,0.4341881959733489,0.10619605586172548,45.348200799984625,2.9454678000183776,250.25341796875,2,2
3,0.394048769200646,0.4174026550647552,0.10412307484566598,44.021566499985056,2.9047086000209674,250.25341796875,2,3
4,0.38517074350789776,0.4167411071622586,0.10404052899242959,43.76044680000632,2.84004169999389,250.25341796875,1,4
5,0.3811619119215903,0.40894049840826263,0.10306220789296207,44.182626900001196,2.9268186999834143,250.25341796875,2,5
6,0.37718178363566796,0.40637771526420496,0.10273876083412099,44.409211699996376,2.825647499994375,250.25341796875,2,6
7,0.37384840788263973,0.4037180122430088,0.10240200126574406,42.92676729999948,2.8233081999933347,250.25341796875,1,7
8,0.3710552574750476,0.4080540443497929,0.10295044410773904,42.82596600000397,2.795897599979071,250.25341796875,2,7
9,0.3672079555641009,0.4071552707276954,0.10283700306746651,43.314236300007906,2.828584300004877,250.25341796875,1,7
10,0.36458800697784255,0.39977952928293925,0.10190128421298475,42.780689499981236,2.827976900007343,250.25341796875,1,10
11,0.3622763168848171,0.4030861537923397,0.10232183527785377,43.53275089999079,2.850670599989826,250.25341796875,2,10
12,0.36041309152168083,0.3988479819243646,0.1017824921943195,43.77151130000129,2.8472453999856953,250.25341796875,1,12
13,0.35698118277093555,0.4031554260025414,0.10233062713923646,46.28003520000493,2.9640853999881074,250.25341796875,1,12
14,0.35600098530068175,0.3984453284577928,0.10173110241183879,43.3090635999979,2.8222784999816213,250.25341796875,2,14
15,0.3539023877208627,0.402888208359389,0.10229670835774163,42.11343750002561,2.9011529000126757,250.25341796875,1,14
16,0.350750018639006,0.40202590603376875,0.10218717680824513,44.05329429998528,2.985230300022522,250.25341796875,0,14
17,0.34876627480209343,0.4052226058450199,0.10259264189399292,44.74226299999282,2.827500399987912,250.25341796875,2,14
18,0.346409800611495,0.40536089151209537,0.10261014570739907,44.11063350000768,3.041349699982675,250.25341796875,1,14
19,0.34453014180263664,0.40564955107472644,0.10264667381019173,44.26574469998013,2.893003700010013,250.25341796875,1,14
