hour,RMSE,MAE,NSE,R,bias_mm_h,n_values
1,0.039802167902300366,0.009595894477985804,0.9534036056714648,0.9765198140370098,-0.0023063810667387735,18142
2,0.047943218591340674,0.009245276569204897,0.9351246231490111,0.9673378367026347,-0.001884227908596495,18142
3,0.05541845595898728,0.010024161644452944,0.915467923688154,0.9575121392814705,-0.002209157934464543,18142
4,0.06137225422141715,0.0109344349854447,0.897500176061893,0.9483716481155753,-0.0019642392417997434,18142
5,0.06399396996097116,0.012062597102538835,0.8873886915114038,0.9431551886138064,-0.0022974307660652018,18142
6,0.06455266318249547,0.013618120145547337,0.8813292581020231,0.9397795274762131,-0.003313177658645949,18142
7,0.06408589518842245,0.0138004059198153,0.8783988545409719,0.9378387233896301,-0.002607349206180367,18142
8,0.06359376829117905,0.014609479915992813,0.8741195376421229,0.9352680202480466,-0.002909071172543113,18142
9,0.0631303815218439,0.015000070549377714,0.8698822599404235,0.9328474502667101,-0.00253728342704848,18142
10,0.06488362613778047,0.01595863209855962,0.8573768176509431,0.9261335825342999,-0.0030288961516365793,18142
11,0.06991539865957166,0.01632582945133102,0.8332096175308676,0.9129042200376893,-0.0022976637855866024,18142
12,0.07407144981309283,0.017318588162732847,0.8109070469642683,0.9006922675814892,-0.003136740273472648,18142
13,0.07743498425133943,0.017023752951770256,0.7897240634892505,0.8887292463789156,-0.0016978426004634253,18142
14,0.07980053894281244,0.018141153853586178,0.7718933677850951,0.8787682855128399,-0.002214493169030095,18142
15,0.08218555414032963,0.018565240714526064,0.7544521415454645,0.8688135679020325,-0.0020858422264621126,18142
16,0.08502622302551359,0.019228471168149183,0.7349899048329329,0.8575765053269966,-0.0020520980540641547,18142
17,0.08722566203133957,0.019678024201531016,0.7197352138725402,0.8485666316120212,-0.0015949293803896396,18142
18,0.09040217579414536,0.02037217027945724,0.6991002897520118,0.8363121131683915,-0.002037052144588066,18142
19,0.09534641341447894,0.0212384914983799,0.669483980497571,0.8185048711581442,-0.002299441797364447,18142
20,0.11186367129596031,0.022346092328426506,0.5882507768961486,0.7672698686722947,-0.0025940972116803625,18142
21,0.13169517002517123,0.02303026386113347,0.5018522127917784,0.7087179975491673,-0.0028842734010355764,18142
22,0.14244554577529486,0.02372229556606068,0.4539926487635736,0.6742711449226355,-0.0033037527356057773,18142
23,0.12554161757858517,0.02392517253765577,0.5083924078838749,0.7136280823791459,-0.003167943691826793,18142
24,0.10915608684252694,0.02409619447505201,0.5702747565569541,0.7558875466958311,-0.0025231467390984174,18142
25,0.10236358287438029,0.024326851905857722,0.595304419775792,0.7723501833637586,-0.002213421432670851,18142
26,0.10122484002121918,0.024569313040156197,0.5961765434933921,0.7726920290349213,-0.0012434673923993917,18142
27,0.10507906581171786,0.025155708062951386,0.5732631368731054,0.7577630730980326,-0.0020633267601639815,18142
28,0.11212091740150544,0.025751836048963715,0.5375398787788592,0.7339539265922321,-0.0019818906283202474,18142
29,0.11161103615863964,0.02583960454897346,0.5378673114530895,0.7339214345962629,-0.0017478451415062957,18142
30,0.11234333467734123,0.02612387116385094,0.5324699783563912,0.7300581006517579,-0.001665623687301642,18142
31,0.109500832173074,0.026271251663894036,0.5428048498570155,0.7369496672493884,-0.001141199431901974,18142
32,0.10931501800381564,0.026716061378126568,0.5422287926227021,0.7364363780882774,-0.0007301085681964316,18142
33,0.11440481459196342,0.027239548088489243,0.517213770402781,0.7192332051916213,-0.0010791977537776113,18142
34,0.11796321387208132,0.027477008309593483,0.5023492500915601,0.7088454155111613,-0.0015889910933892962,18142
35,0.1177900544972008,0.028129169279203926,0.5029929031317085,0.7092821058674474,-0.0010394780582518109,18142
36,0.1178571695143861,0.02836107610386335,0.5011527693792266,0.7081697115619637,-0.0015315657072163921,18142
37,0.11870649888456396,0.02894110372450662,0.4962755396604833,0.7047888811086194,-0.0008726157625208466,18142
38,0.11970911604162285,0.028981839152068496,0.49019962616198187,0.7006718684635379,-0.0015332455939404649,18142
39,0.12043072039193571,0.029865335032623234,0.485061243437788,0.6969211822747015,-0.0008405318334004469,18142
40,0.12027849702235047,0.030146716456700116,0.4842049642588563,0.696510615951431,-0.001409446782558847,18142
41,0.1198874892962627,0.030895859411022627,0.48547466540761863,0.6980077572501487,-0.0008260145832155681,18142
42,0.12033662157109255,0.031567617744576316,0.4851786364083701,0.6982946918228987,-0.0004052147171694006,18142
43,0.12242343005471192,0.03207169987162515,0.47850910622889575,0.6942809178592352,-0.0008212682293451503,18142
44,0.1224152562039261,0.0326957674658442,0.4799221489309621,0.6954856544500517,-0.0002699146655347486,18142
45,0.12100154589214034,0.03254361114045756,0.48559543681858286,0.6997065056710094,-0.001292655538895006,18142
46,0.12111520041607053,0.03261636862903775,0.4840270837921058,0.6991338492639408,-0.0014966677287317127,18142
47,0.11968455982057336,0.03316601206605394,0.48837997118193,0.7017115982190463,-0.0007418768358815487,18142
48,0.11847725356785269,0.0326410953998394,0.48991369966041987,0.7025427504000022,-0.0017111333952057862,18142
